Date,Stock_Close,Exchange_Close
2020-01-02,55200,1153.969970703125
2020-01-03,55500,1157.1500244140625
2020-01-06,55500,1165.8499755859375
2020-01-07,55800,1167.4200439453125
2020-01-08,56800,1166.4599609375
2020-01-09,58600,1161.260009765625
2020-01-10,59500,1157.81005859375
2020-01-13,60000,1156.9300537109375
2020-01-14,60000,1153.93994140625
2020-01-15,59000,1157.050048828125
2020-01-16,60700,1156.780029296875
2020-01-17,61300,1158.77001953125
2020-01-20,62400,1160.3599853515625
2020-01-21,61400,1157.5699462890625
2020-01-22,62300,1168.739990234375
2020-01-23,60800,1163.72998046875
2020-01-28,58800,1176.72998046875
2020-01-29,59100,1174.280029296875
2020-01-30,57200,1178.0799560546875
2020-01-31,56400,1187.1199951171875
2020-02-03,57200,1194.8699951171875
2020-02-04,58900,1189.3599853515625
2020-02-05,59500,1182.47998046875
2020-02-06,61100,1183.4599609375
2020-02-07,60400,1184.25
2020-02-10,59700,1191.0899658203125
2020-02-11,59900,1185.6300048828125
2020-02-12,60500,1180.719970703125
2020-02-13,60700,1177.9599609375
2020-02-14,61800,1183.469970703125
2020-02-17,61500,1182.1800537109375
2020-02-18,59800,1183.81005859375
2020-02-19,60200,1189.9300537109375
2020-02-20,60000,1191.3699951171875
2020-02-21,59200,1204.4000244140625
2020-02-24,56800,1205.77001953125
2020-02-25,57900,1217.6500244140625
2020-02-26,56500,1214.550048828125
2020-02-27,55900,1211.3599853515625
2020-02-28,54200,1211.31005859375
2020-03-02,55000,1200.0999755859375
2020-03-03,55400,1188.280029296875
2020-03-04,57400,1186.3399658203125
2020-03-05,57800,1183.6800537109375
2020-03-06,56500,1187.469970703125
2020-03-09,54200,1187.699951171875
2020-03-10,54600,1199.9599609375
2020-03-11,52100,1184.699951171875
2020-03-12,50800,1189.3900146484375
2020-03-13,49950,1209.969970703125
2020-03-16,48900,1210.800048828125
2020-03-17,47300,1232.0400390625
2020-03-18,45600,1237.989990234375
2020-03-19,42950,1255.3499755859375
2020-03-20,45400,1256.8800048828125
2020-03-23,42500,1253.949951171875
2020-03-24,46950,1262.9300537109375
2020-03-25,48650,1228.5999755859375
2020-03-26,47800,1231.0799560546875
2020-03-27,48300,1212.18994140625
2020-03-30,47850,1222.699951171875
2020-03-31,47750,1216.6600341796875
2020-04-01,45800,1234.72998046875
2020-04-02,46800,1226.8499755859375
2020-04-06,48700,1223.0999755859375
2020-04-07,49600,1215.31005859375
2020-04-08,48600,1214.75
2020-04-09,49100,1209.510009765625
2020-04-13,48300,1213.9000244140625
2020-04-14,49000,1212.3800048828125
2020-04-16,49000,1226.6400146484375
2020-04-20,50100,1218.0999755859375
2020-04-21,49250,1230.8499755859375
2020-04-22,49850,1231.3800048828125
2020-04-23,49850,1232.449951171875
2020-04-27,49850,1220.8699951171875
2020-04-28,50100,1220.4000244140625
2020-04-29,50000,1210.7900390625
2020-05-04,48500,1222.449951171875
2020-05-06,49200,1228.530029296875
2020-05-07,48800,1218.6300048828125
2020-05-11,48400,1222.4000244140625
2020-05-12,47900,1225.6500244140625
2020-05-13,48550,1226.550048828125
2020-05-14,48000,1225.4599609375
2020-05-18,48800,1224.199951171875
2020-05-19,50300,1224.3199462890625
2020-05-20,50000,1226.550048828125
2020-05-21,49950,1233.3900146484375
2020-05-25,48850,1240.02001953125
2020-05-26,49250,1230.8699951171875
2020-05-27,49900,1238.300048828125
2020-05-28,50400,1237.97998046875
2020-06-01,51200,1222.989990234375
2020-06-02,51400,1219.1400146484375
2020-06-03,54500,1215.8199462890625
2020-06-04,54600,1215.3800048828125
2020-06-08,54900,1195.72998046875
2020-06-09,55500,1197.300048828125
2020-06-10,55400,1189.739990234375
2020-06-11,54300,1204.760009765625
2020-06-15,49900,1206.9000244140625
2020-06-16,52100,1211.1500244140625
2020-06-17,52200,1214.3499755859375
2020-06-18,52300,1211.3599853515625
2020-06-22,52000,1208.0
2020-06-23,51400,1207.949951171875
2020-06-24,52900,1205.25
2020-06-25,51900,1201.52001953125
2020-06-29,52400,1198.489990234375
2020-06-30,52800,1198.3900146484375
2020-07-01,52600,1200.699951171875
2020-07-02,52900,1198.1700439453125
2020-07-06,55000,1190.9300537109375
2020-07-07,53400,1195.699951171875
2020-07-08,53000,1192.02001953125
2020-07-09,52800,1195.77001953125
2020-07-13,53400,1203.780029296875
2020-07-14,53800,1203.97998046875
2020-07-15,54700,1200.469970703125
2020-07-16,53800,1204.22998046875
2020-07-20,54200,1200.030029296875
2020-07-21,55300,1192.739990234375
2020-07-22,54700,1197.22998046875
2020-07-23,54100,1200.93994140625
2020-07-27,55600,1195.9200439453125
2020-07-28,58600,1199.3699951171875
2020-07-29,59000,1190.72998046875
2020-07-30,59000,1189.56005859375
2020-08-03,56800,1191.760009765625
2020-08-04,57300,1192.25
2020-08-05,56900,1185.1800537109375
2020-08-06,58000,1183.1700439453125
2020-08-10,57800,1185.18994140625
2020-08-11,58200,1184.97998046875
2020-08-12,59000,1182.75
2020-08-13,58700,1184.1199951171875
2020-08-18,58400,1183.6400146484375
2020-08-19,57800,1181.2099609375
2020-08-20,55400,1184.2900390625
2020-08-24,56100,1188.25
2020-08-25,56400,1186.4599609375
2020-08-26,56400,1183.8499755859375
2020-08-27,55600,1186.5799560546875
2020-08-31,54000,1187.0400390625
2020-09-01,54200,1184.9200439453125
2020-09-02,54400,1188.6500244140625
2020-09-03,56400,1190.780029296875
2020-09-07,56500,1186.81005859375
2020-09-08,58700,1189.239990234375
2020-09-09,58400,1184.3800048828125
2020-09-10,59200,1187.22998046875
2020-09-14,60400,1180.8399658203125
2020-09-15,61000,1179.25
2020-09-16,61000,1172.0699462890625
2020-09-17,59500,1168.6500244140625
2020-09-21,59200,1163.8499755859375
2020-09-22,58200,1162.5
2020-09-23,58600,1169.72998046875
2020-09-24,57800,1168.5
2020-09-28,58200,1166.4100341796875
2020-09-29,58200,1167.8599853515625
2020-10-05,58700,1156.0899658203125
2020-10-06,59000,1163.8900146484375
2020-10-07,59900,1156.5
2020-10-08,59700,1150.3599853515625
2020-10-12,60400,1146.4000244140625
2020-10-13,60900,1147.8900146484375
2020-10-14,60900,1146.31005859375
2020-10-15,60000,1144.1300048828125
2020-10-19,60000,1137.0
2020-10-20,60900,1136.0
2020-10-21,60900,1132.030029296875
2020-10-22,60100,1134.1500244140625
2020-10-26,60400,1127.760009765625
2020-10-27,59800,1131.6400146484375
2020-10-28,59000,1128.22998046875
2020-10-29,58100,1134.1800537109375
2020-10-30,56600,1129.52001953125
2020-11-02,57400,1135.6099853515625
2020-11-03,58800,1132.1400146484375
2020-11-04,58500,1130.3299560546875
2020-11-05,60300,1129.739990234375
2020-11-06,60100,1122.6300048828125
2020-11-09,60200,1121.1500244140625
2020-11-10,60200,1118.68994140625
2020-11-11,61300,1116.0799560546875
2020-11-12,61000,1111.449951171875
2020-11-13,63200,1114.9100341796875
2020-11-16,66300,1107.760009765625
2020-11-17,65700,1106.0899658203125
2020-11-18,64800,1104.949951171875
2020-11-19,64600,1105.9000244140625
2020-11-20,64700,1114.1400146484375
2020-11-23,67500,1113.8299560546875
2020-11-24,67700,1113.0799560546875
2020-11-25,66600,1109.7099609375
2020-11-26,68000,1104.489990234375
2020-11-27,68200,1105.56005859375
2020-11-30,66700,1104.3299560546875
2020-12-01,67800,1108.510009765625
2020-12-02,69500,1106.280029296875
2020-12-03,69700,1099.3800048828125
2020-12-04,71500,1091.3199462890625
2020-12-07,72900,1083.780029296875
2020-12-08,71700,1083.6800537109375
2020-12-09,73900,1084.8599853515625
2020-12-10,72900,1086.3599853515625
2020-12-11,73400,1086.3699951171875
2020-12-14,73800,1091.5799560546875
2020-12-15,73800,1092.06005859375
2020-12-16,73800,1088.2099609375
2020-12-17,73300,1091.6500244140625
2020-12-18,73000,1092.1600341796875
2020-12-21,73000,1098.97998046875
2020-12-22,72300,1101.8599853515625
2020-12-23,73900,1107.97998046875
2020-12-24,77800,1104.800048828125
2020-12-28,78700,1099.0899658203125
2020-12-29,78300,1095.0
2020-12-30,81000,1092.6199951171875
2021-01-04,83000,1084.72998046875
2021-01-05,83900,1086.6199951171875
2021-01-06,82200,1086.449951171875
2021-01-07,82900,1086.949951171875
2021-01-08,88800,1093.0699462890625
2021-01-11,91000,1092.8199462890625
2021-01-12,90600,1096.449951171875
