,Open,High,Low,Close,Volume,Adj Close
2019-12-31,1156.3399658203125,1158.18994140625,1151.739990234375,1156.3499755859375,0,1156.3499755859375
2020-01-01,1154.4000244140625,1154.4000244140625,1145.449951171875,1153.75,0,1153.75
2020-01-02,1153.9599609375,1160.18994140625,1145.199951171875,1153.969970703125,0,1153.969970703125
2020-01-03,1157.550048828125,1168.0699462890625,1155.31005859375,1157.1500244140625,0,1157.1500244140625
2020-01-06,1167.4000244140625,1172.489990234375,1165.6400146484375,1165.8499755859375,0,1165.8499755859375
2020-01-07,1166.52001953125,1168.010009765625,1161.949951171875,1167.4200439453125,0,1167.4200439453125
2020-01-08,1166.530029296875,1178.8399658203125,1162.4000244140625,1166.4599609375,0,1166.4599609375
2020-01-09,1161.3399658203125,1162.5899658203125,1156.510009765625,1161.260009765625,0,1161.260009765625
2020-01-10,1158.5799560546875,1163.6400146484375,1156.199951171875,1157.81005859375,0,1157.81005859375
2020-01-13,1156.9300537109375,1157.7900390625,1152.3800048828125,1156.9300537109375,0,1156.9300537109375
2020-01-14,1153.25,1159.1400146484375,1149.8699951171875,1153.93994140625,0,1153.93994140625
2020-01-15,1156.1300048828125,1162.18994140625,1154.27001953125,1157.050048828125,0,1157.050048828125
2020-01-16,1159.739990234375,1161.0400390625,1155.8499755859375,1156.780029296875,0,1156.780029296875
2020-01-17,1159.6700439453125,1161.1099853515625,1154.550048828125,1158.77001953125,0,1158.77001953125
2020-01-20,1159.800048828125,1160.43994140625,1155.2900390625,1160.3599853515625,0,1160.3599853515625
2020-01-21,1158.5699462890625,1169.3900146484375,1157.75,1157.5699462890625,0,1157.5699462890625
2020-01-22,1168.719970703125,1168.719970703125,1161.3900146484375,1168.739990234375,0,1168.739990234375
2020-01-23,1165.18994140625,1170.0999755859375,1163.699951171875,1163.72998046875,0,1163.72998046875
2020-01-24,1168.199951171875,1169.4200439453125,1164.6400146484375,1167.5999755859375,0,1167.5999755859375
2020-01-27,1169.239990234375,1179.2099609375,1169.22998046875,1169.1500244140625,0,1169.1500244140625
2020-01-28,1176.449951171875,1181.1700439453125,1173.8599853515625,1176.72998046875,0,1176.72998046875
2020-01-29,1172.75,1179.8499755859375,1172.550048828125,1174.280029296875,0,1174.280029296875
